ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Torca,2120077,1021800,1005320,Santafe de Bogotá,R. Bogotá,1977,23.5,56.0,145.5,185.5,151.5,113.5,103.5,91.5,162.0,97.0,362.0,93.5
Usaquén,2120111,1010630,1005770,Santafe de Bogotá,R. Bogotá,1957,48.7,51.1,134.1,92.1,169.6,52.8,57.0,40.9,39.2,231.6,69.2,38.2
La Esperanza,2120647,1012750,961000,La Mesa,R. Apulo,2002,45.4,86.6,222.0,412.9,181.0,92.1,32.1,9.6,104.7,155.0,77.5,138.2
Pozo Azul,2120181,969200,917550,Girardot,R. Bogotá,1997,0.0,66.5,84.2,188.2,56.8,85.9,0.0,1.0,83.4,154.0,71.9,92.1
La Lumbre,2120525,1003730,987701,Santafe de Bogotá,R. Tunjuelo,1967,19.5,22.1,40.5,54.2,107.5,104.5,47.8,23.3,15.3,90.0,93.8,49.3
La Casita,2120112,1004320,1005400,La Calera,R. Teusacá,2018,20.5,34.0,180.6,306.1,139.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Unión,2120055,1030640,980540,Subachoque,R. Subachoque,2006,49.0,12.0,193.5,216.2,100.9,132.0,33.3,53.0,32.9,281.1,67.6,47.1
El Hato,2401035,1076620,1019050,Carmen de Carupa,R. El Hato,1968,9.1,46.7,62.0,178.4,44.0,105.6,40.2,30.9,50.5,63.1,43.7,9.4
Sutatausa,2401521,1071880,1025020,Sutatausa,R. Suta,1992,10.6,92.7,74.5,95.5,26.6,18.1,34.1,29.6,30.6,3.8,129.5,44.1
La Pradera,2120044,1044880,993954,Subachoque,R. Subachoque,2016,11.3,41.0,84.2,172.1,133.4,43.0,54.4,49.2,58.3,93.8,147.4,70.4
Sta Isabel,2120787,1043930,1001520,Tabio,R. Frío,1975,30.0,162.0,135.0,131.0,99.0,84.0,141.0,93.0,55.5,173.0,127.0,152.0
Ventalarga,2120026,1053180,1002950,Zipaquirá,R. Frío,1960,102.5,79.0,54.0,131.0,106.0,86.0,79.0,83.0,56.5,167.0,40.0,116.0
Represa del Neusa,2120541,1060090,1011400,Cogua,Emb. Neusa,1997,121.5,29.5,24.8,70.1,46.1,109.1,76.4,47.5,30.3,43.2,66.4,8.2
Salucio,2120027,1057200,1039700,Chocontá,R. Bogotá,1970,79.5,48.0,20.0,66.0,97.0,142.0,132.0,57.0,101.0,84.0,27.0,15.0
Los Lagos,2120635,990700,963500,Viotá,R. Calandaima,1992,75.0,55.7,53.0,73.1,95.9,21.5,74.0,87.4,63.5,78.3,232.9,197.2
San Miguel de Sema,2401531,1102290,1040620,San Miguel de Sema,Lag. Fúquene,1996,60.4,83.5,170.3,142.6,130.7,75.7,68.8,59.3,52.0,244.9,150.2,135.6
El Hato,2401035,1076620,1019050,Carmen de Carupa,R. El Hato,1961,19.6,11.0,43.3,80.4,51.7,107.4,81.2,40.4,34.0,131.5,105.5,12.0
El Hato No. 5,2401056,1068490,1013862,Carmen de Carupa,R. El Hato,1988,74.0,137.0,118.0,188.0,208.0,284.0,272.0,323.0,286.0,320.0,328.0,207.0
Zipaquirá,2120074,1047850,1007620,Zipaquirá,R. Negro,1974,18.0,104.0,85.0,62.3,89.7,52.9,34.5,106.0,126.3,181.0,187.0,74.0
El Triangulo,2401039,1078310,1051230,Lenguazaque,R. Lenguazaque,1976,8.7,32.4,85.5,92.8,101.6,90.7,52.6,50.6,67.2,124.3,74.7,28.2
San Jorge,2120172,990160,987380,Soacha,R. Soacha,1991,16.6,21.8,159.4,57.1,67.4,32.1,70.9,77.9,46.7,50.1,100.9,55.3
Los Lagos,2120635,990700,963500,Viotá,R. Calandaima,1991,89.2,25.5,391.0,186.0,95.1,83.1,66.0,32.4,101.5,100.0,257.0,224.0
El Fute,2120166,1002150,977280,Soacha,R. Bogotá,2014,24.6,39.3,32.9,29.0,81.0,31.2,17.1,13.5,35.0,89.0,76.2,46.0
Las Cintas,3509509,1112800,1133900,Aquitania,Lag. Tota,1993,34.8,28.6,61.5,119.4,197.6,183.0,230.2,98.5,89.6,98.9,81.3,7.6
Los Pinos,2312019,1070730,1005190,Tausa,R. Negro,2017,88.0,78.0,182.2,73.0,0.0,0.0,0.0,0.0,2.2,61.2,201.9,40.0
San Jorge,2120172,990160,987380,Soacha,R. Soacha,1981,0.0,8.9,23.8,137.6,153.3,46.9,18.7,28.7,51.4,67.8,183.1,38.2
Sutatausa,2401521,1071880,1025020,Sutatausa,R. Suta,2004,5.3,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alto Saboya,2401520,1123700,1029290,Saboyá,R. Suárez,1994,29.0,147.0,195.0,271.0,82.0,54.0,70.0,20.0,124.0,228.0,164.0,31.0
El Hato No. 1,2401052,1077060,1017125,Carmen de Carupa,R. El Hato,2005,38.0,29.0,48.0,59.0,132.0,24.0,66.0,79.0,60.0,180.0,105.0,56.0
El Muña,2120561,993600,981280,Sibaté,Emb. Muña,1980,8.4,19.8,7.6,52.4,49.6,56.4,6.8,29.7,15.1,46.9,59.3,42.1
San Miguel de Sema,2401531,1102290,1040620,San Miguel de Sema,Lag. Fúquene,2013,18.2,169.8,155.2,182.0,111.3,18.8,11.6,25.6,67.1,229.2,259.8,53.3
El Muña,2120561,993600,981280,Sibaté,Emb. Muña,1975,15.0,71.2,78.5,34.5,82.5,38.9,58.8,51.5,62.9,60.6,69.8,66.9
Sta Isabel,2120787,1043930,1001520,Tabio,R. Frío,1971,28.0,65.0,70.0,76.0,81.0,47.0,10.0,79.0,60.0,86.0,67.0,38.0
